Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
20:28:24.355,0x0000000D,1,0,1,1,Nút S1
20:28:24.569,0x0000000D,1,0,1,1,Nút S1
20:28:24.787,0x0000000D,1,0,1,1,Nút S1
20:28:25.000,0x0000000D,1,0,1,1,Nút S1
20:28:25.216,0x0000000D,1,0,1,1,Nút S1
20:28:25.437,0x0000000D,1,0,1,1,Nút S1
20:28:25.652,0x0000000D,1,0,1,1,Nút S1
20:28:25.868,0x0000000D,1,0,1,1,Nút S1
20:28:26.083,0x00000007,1,1,1,0,Nút S1
20:28:26.301,0x0000000D,1,0,1,1,Nút S1
20:28:26.514,0x0000000D,1,0,1,1,Nút S1
20:28:26.734,0x0000000D,1,0,1,1,Nút S1
20:28:26.949,0x0000000D,1,0,1,1,Nút S1
20:28:27.166,0x0000000D,1,0,1,1,Nút S1
20:28:27.382,0x0000000D,1,0,1,1,Nút S1
20:28:27.598,0x0000000D,1,0,1,1,Nút S1
20:28:27.815,0x00000007,1,1,1,0,Nút S1
20:28:28.032,0x0000000D,1,0,1,1,Nút S1
20:28:28.248,0x0000000D,1,0,1,1,Nút S1
20:28:28.464,0x0000000D,1,0,1,1,Nút S1
20:28:28.679,0x0000000D,1,0,1,1,Nút S1
20:28:28.896,0x0000000D,1,0,1,1,Nút S1
20:28:29.111,0x0000000D,1,0,1,1,Nút S1
20:28:29.326,0x0000000D,1,0,1,1,Nút S1
20:28:29.542,0x00000007,1,1,1,0,Nút S1
20:28:29.759,0x0000000D,1,0,1,1,Nút S1
20:28:29.973,0x0000000D,1,0,1,1,Nút S1
20:28:30.192,0x0000000D,1,0,1,1,Nút S1
20:28:30.404,0x0000000D,1,0,1,1,Nút S1
20:28:30.621,0x0000000D,1,0,1,1,Nút S1
20:28:30.840,0x0000000D,1,0,1,1,Nút S1
20:28:31.057,0x0000000D,1,0,1,1,Nút S1
20:28:31.273,0x0000000D,1,0,1,1,Nút S1
20:28:31.489,0x00000007,1,1,1,0,Nút S1
20:28:31.701,0x0000000D,1,0,1,1,Nút S1
20:28:31.916,0x0000000D,1,0,1,1,Nút S1
20:28:32.136,0x0000000D,1,0,1,1,Nút S1
20:28:32.347,0x0000000D,1,0,1,1,Nút S1
20:28:32.562,0x0000000D,1,0,1,1,Nút S1
20:28:32.785,0x0000000D,1,0,1,1,Nút S1
20:28:33.000,0x0000000D,1,0,1,1,Nút S1
20:28:33.215,0x00000007,1,1,1,0,Nút S1
20:28:33.431,0x0000000D,1,0,1,1,Nút S1
20:28:33.647,0x0000000D,1,0,1,1,Nút S1
20:28:33.863,0x0000000D,1,0,1,1,Nút S1
20:28:34.079,0x0000000D,1,0,1,1,Nút S1
20:28:34.295,0x0000000D,1,0,1,1,Nút S1
20:28:34.511,0x0000000D,1,0,1,1,Nút S1
20:28:34.726,0x0000000D,1,0,1,1,Nút S1
20:28:34.937,0x00000007,1,1,1,0,Nút S1
20:28:35.160,0x0000000D,1,0,1,1,Nút S1
20:28:35.375,0x0000000D,1,0,1,1,Nút S1
20:28:35.590,0x0000000D,1,0,1,1,Nút S1
20:28:35.807,0x0000000D,1,0,1,1,Nút S1
20:28:36.020,0x0000000D,1,0,1,1,Nút S1
20:28:36.240,0x0000000D,1,0,1,1,Nút S1
20:28:36.454,0x0000000D,1,0,1,1,Nút S1
20:28:36.667,0x0000000D,1,0,1,1,Nút S1
20:28:36.882,0x00000007,1,1,1,0,Nút S1
20:28:37.097,0x0000000D,1,0,1,1,Nút S1
20:28:37.319,0x0000000D,1,0,1,1,Nút S1
20:28:37.534,0x0000000D,1,0,1,1,Nút S1
20:28:37.750,0x0000000D,1,0,1,1,Nút S1
20:28:37.965,0x0000000D,1,0,1,1,Nút S1
20:28:38.183,0x0000000D,1,0,1,1,Nút S1
20:28:38.395,0x0000000D,1,0,1,1,Nút S1
20:28:38.611,0x0000000D,1,0,1,1,Nút S1
20:28:38.827,0x0000000D,1,0,1,1,Nút S1
20:28:39.041,0x0000000D,1,0,1,1,Nút S1
20:28:39.256,0x0000000D,1,0,1,1,Nút S1
20:28:39.478,0x0000000D,1,0,1,1,Nút S1
20:28:39.695,0x0000000D,1,0,1,1,Nút S1
20:28:39.911,0x00000007,1,1,1,0,Nút S1
20:28:40.128,0x0000000D,1,0,1,1,Nút S1
20:28:40.342,0x0000000D,1,0,1,1,Nút S1
20:28:40.560,0x0000000D,1,0,1,1,Nút S1
20:28:40.770,0x0000000D,1,0,1,1,Nút S1
20:28:40.990,0x0000000D,1,0,1,1,Nút S1
20:28:41.201,0x0000000D,1,0,1,1,Nút S1
20:28:41.422,0x0000000D,1,0,1,1,Nút S1
20:28:41.638,0x0000000D,1,0,1,1,Nút S1
20:28:41.853,0x0000000D,1,0,1,1,Nút S1
20:28:42.068,0x0000000D,1,0,1,1,Nút S1
20:28:42.284,0x0000000D,1,0,1,1,Nút S1
20:28:42.500,0x0000000D,1,0,1,1,Nút S1
20:28:42.717,0x0000000D,1,0,1,1,Nút S1
20:28:42.933,0x0000000D,1,0,1,1,Nút S1
